rank,scorer,team,blended_share,hist_share,fc25_share,expected_team_goals,expected_player_goals,n_recent_goals
1,Harry Kane,England,0.2845612689847706,0.3395554496902756,0.17457290757376043,16.94757270566666,4.822622795336166,26
2,Erling Haaland,Norway,0.39175638213533076,0.47678052208300703,0.22170810223997836,11.28905528172301,4.422559454893554,35
3,Kylian Mbappé,France,0.23899154293493144,0.2952751903609462,0.12642424808290198,17.70380235079478,4.2310590396315115,27
4,Lionel Messi,Argentina,0.19550063831987155,0.24812246439823712,0.09025698616314046,18.986264364664795,3.7118268026017978,17
5,Cristiano Ronaldo,Portugal,0.20591787417035512,0.2658310099326373,0.08609160264579079,17.435903080387178,3.590364096553674,26
6,Lautaro Martínez,Argentina,0.17308812717898256,0.20330826728280718,0.11264784697133333,18.986264364664795,3.2862969410048843,12
7,Raphinha,Brazil,0.14790885724376962,0.17167727071111596,0.10037203030907692,20.673343271709086,3.0577705787266645,7
8,Julián Alvarez,Argentina,0.15244795775018044,0.17052005369593212,0.11630376585867713,18.986264364664795,2.894417227698175,11
9,Vinícius Júnior,Brazil,0.13949211456041322,0.14375817907401817,0.13095998553320337,20.673343271709086,2.8837683680039916,6
10,Enner Valencia,Ecuador,0.29137885837668,0.43706828756502,0.0,9.80509725302346,2.8569980438582965,10
11,Mohamed Salah,Egypt,0.4284683402705763,0.4128209171645978,0.45976318648253345,6.627080717680639,2.8394942759437627,16
12,Mehdi Taremi,Iran,0.346519537907554,0.3037117888711467,0.43213503598036873,8.069569550253156,2.7962635116665924,17
13,Viktor Gyökeres,Sweden,0.3057007652490541,0.3998594904415151,0.1173833148641321,9.070514184426116,2.7728631273814637,17
14,Mikel Merino,Spain,0.11872458400763101,0.14152646644645928,0.07312081912997451,22.534757768655865,2.675429741796399,10
15,Mikel Oyarzabal,Spain,0.11391193266112222,0.17086789899168334,0.0,22.534757768655865,2.5669778094778275,12
16,Luis Díaz,Colombia,0.1750208586617843,0.21128758639708306,0.10248740319118686,14.210223651793902,2.4870855453129646,10
17,Cody Gakpo,Netherlands,0.14901495984821245,0.1805404465259036,0.08596398649283021,16.50269889977201,2.4591490139366656,18
18,Memphis Depay,Netherlands,0.14437016169026218,0.1788324608458354,0.07544556337911573,16.50269889977201,2.3824973084857968,15
19,Florian Wirtz,Germany,0.12154725511264032,0.11382896559660094,0.13698383414471912,18.639835372397314,2.265620825266393,7
20,Mohamed Amoura,Algeria,0.24416028447679036,0.3204330274213447,0.09161479858768166,9.057733376318446,2.2115387578768306,10
21,Romelu Lukaku,Belgium,0.14415280276680836,0.17789455949141664,0.0766692893175918,14.908843646609911,2.1491515976709423,18
22,Bruno Fernandes,Portugal,0.12032876160645826,0.1506423146040667,0.059701655611241404,17.435903080387178,2.09804062515322,17
23,Kevin De Bruyne,Belgium,0.1405625859387336,0.1690524317750749,0.08358289426605107,14.908843646609911,2.095625616323748,11
24,Andrej Kramarić,Croatia,0.16818964779841483,0.2232805347295156,0.05800787393621334,12.251843282808691,2.060633206616968,16
25,Breel Embolo,Switzerland,0.1573096228702669,0.18692316683599342,0.09808253493881393,12.234270261355718,1.9245684409067896,10
26,Marko Arnautović,Austria,0.19691639878817108,0.2564343568763152,0.07788048261188285,9.619373666757367,1.8942124210556253,14
27,Jamal Musiala,Germany,0.09914770738023802,0.08669524523122776,0.12405263167825857,18.639835372397314,1.848096943118259,6
28,Eldor Shomurodov,Uzbekistan,0.329376598094121,0.14839837757416177,0.6913330391340395,5.209934296926894,1.7160304350156665,5
29,Brahim Díaz,Morocco,0.15090090836113357,0.19403999661759058,0.06462273184821953,10.940606730646742,1.6509474936765252,6
30,Edin Džeko,Bosnia and Herzegovina,0.2802549913134174,0.3410652245917542,0.15863452475674378,5.81409674299804,1.6294296322042843,12
