rank,scorer,team,blended_share,expected_team_goals,expected_player_goals,p_top_scorer
1,Harry Kane,England,0.2845612689847706,17.059821140328047,4.854564352344965,0.185
2,Erling Haaland,Norway,0.39175638213533076,11.395834130790444,4.464390750492786,0.14355
3,Kylian Mbappé,France,0.23899154293493144,17.82198653390045,4.25930405990244,0.11395
4,Lionel Messi,Argentina,0.19550063831987155,19.116156549890146,3.737220807726117,0.07145
5,Cristiano Ronaldo,Portugal,0.20591787417035512,17.550144093161226,3.6138883630471743,0.06525
6,Lautaro Martínez,Argentina,0.17308812717898256,19.116156549890146,3.308779736080726,0.04565
7,Raphinha,Brazil,0.14790885724376962,20.829272319831745,3.0808338660455954,0.03405
8,Enner Valencia,Ecuador,0.29137885837668,9.92654291499585,2.8923847421986117,0.02735
9,Vinícius Júnior,Brazil,0.13949211456041322,20.829272319831745,2.9055192406480135,0.02645
10,Julián Alvarez,Argentina,0.15244795775018044,19.116156549890146,2.914219026063488,0.0264
11,Mohamed Salah,Egypt,0.4284683402705763,6.691122329017232,2.8669340788614064,0.0256
12,Mehdi Taremi,Iran,0.346519537907554,8.139046575735163,2.8203386584318086,0.0238
13,Viktor Gyökeres,Sweden,0.3057007652490541,9.160501473607315,2.800372310546844,0.02185
14,Mikel Merino,Spain,0.11872458400763101,22.668351382371952,2.6912905880109177,0.0177
15,Cody Gakpo,Netherlands,0.14901495984821245,16.61342430787885,2.4756487561798837,0.0148
16,Mikel Oyarzabal,Spain,0.11391193266112222,22.668351382371952,2.5821957162074107,0.0145
17,Luis Díaz,Colombia,0.1750208586617843,14.35474714201804,2.5123801706687914,0.01325
18,Memphis Depay,Netherlands,0.14437016169026218,16.61342430787885,2.398482753557402,0.0111
19,Mohamed Amoura,Algeria,0.24416028447679036,9.1283459516857,2.2287795443661382,0.0093
20,Florian Wirtz,Germany,0.12154725511264032,18.76539928436202,2.2808827741069084,0.008
21,Romelu Lukaku,Belgium,0.14415280276680836,15.016671890980188,2.164695341314342,0.007
22,Bruno Fernandes,Portugal,0.12032876160645826,17.550144093161226,2.1117871047449888,0.00665
23,Andrej Kramarić,Croatia,0.16818964779841483,12.348118590909609,2.0768257167781456,0.00625
24,Kevin De Bruyne,Belgium,0.1405625859387336,15.016671890980188,2.110782233189668,0.0061
25,Marko Arnautović,Austria,0.19691639878817108,9.707153537451934,1.9114977170788905,0.00445
26,Breel Embolo,Switzerland,0.1573096228702669,12.337895420069781,1.9408696755439705,0.00445
27,Jamal Musiala,Germany,0.09914770738023802,18.76539928436202,1.8605463171192536,0.00375
28,Eldor Shomurodov,Uzbekistan,0.329376598094121,5.268892985741781,1.7354500473656038,0.0029
29,Darwin Núñez,Uruguay,0.1384194139290339,11.67594570371329,1.616177561375215,0.00225
30,Brahim Díaz,Morocco,0.15090090836113357,11.025903462697919,1.6638188480232838,0.00205
